time,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z
46.478,0.0,0.0,0.25,0.25,0.0,0.0
46.578,0.0,0.0,0.25,0.25,0.0,0.0
46.678,0.0,0.0,0.25,0.25,0.0,0.0
46.778,0.0,0.0,0.25,0.25,0.0,0.0
46.879,0.0,0.0,0.25,0.25,0.0,0.0
46.978,0.0,0.0,0.25,0.25,0.0,0.0
47.079,0.0,0.0,0.25,0.25,0.0,0.0
47.18,0.0,0.0,0.25,0.25,0.0,0.0
47.279,0.0,0.0,0.25,0.25,0.0,0.0
47.378,0.0,0.0,0.25,0.25,0.0,0.0
47.478,0.0,0.0,0.25,0.25,0.0,0.0
47.579,0.0,0.0,0.25,0.25,0.0,0.0
47.679,0.0,0.0,0.25,0.25,0.0,0.0
47.778,0.0,0.0,0.25,0.25,0.0,0.0
47.885,0.0,0.0,0.25,0.25,0.0,0.0
47.979,0.0,0.0,0.25,0.25,0.0,0.0
48.078,0.0,0.0,0.25,0.25,0.0,0.0
48.178,0.0,0.0,0.25,0.25,0.0,0.0
48.279,0.0,0.0,0.25,0.25,0.0,0.0
48.379,0.0,0.0,0.25,0.25,0.0,0.0
48.479,0.0,0.0,0.25,0.25,0.0,0.0
48.578,0.0,0.0,0.25,0.25,0.0,0.0
48.679,0.0,0.0,0.25,0.25,0.0,0.0
48.779,0.0,0.0,0.25,0.25,0.0,0.0
48.879,0.0,0.0,0.25,0.25,0.0,0.0
48.978,0.0,0.0,0.25,0.25,0.0,0.0
49.079,0.0,0.0,0.25,0.25,0.0,0.0
49.181,0.0,0.0,0.25,0.25,0.0,0.0
49.278,0.0,0.0,0.25,0.25,0.0,0.0
49.379,0.0,0.0,0.25,0.25,0.0,0.0
49.477,0.0,0.0,0.25,0.25,0.0,0.0
49.58,0.0,0.0,0.25,0.25,0.0,0.0
49.682,0.0,0.0,0.25,0.25,0.0,0.0
49.778,0.0,0.0,0.25,0.25,0.0,0.0
49.878,0.0,0.0,0.25,0.25,0.0,0.0
49.979,0.0,0.0,0.25,0.25,0.0,0.0
50.078,0.0,0.0,0.25,0.25,0.0,0.0
50.179,0.0,0.0,0.25,0.25,0.0,0.0
50.278,0.0,0.0,0.25,0.25,0.0,0.0
50.379,0.0,0.0,0.25,0.25,0.0,0.0
50.478,0.0,0.0,0.25,0.25,0.0,0.0
50.579,0.0,0.0,0.25,0.25,0.0,0.0
50.679,0.0,0.0,0.25,0.25,0.0,0.0
50.778,0.0,0.0,0.25,0.25,0.0,0.0
50.878,0.0,0.0,0.25,0.25,0.0,0.0
50.979,0.0,0.0,0.25,0.25,0.0,0.0
51.08,0.0,0.0,0.25,0.25,0.0,0.0
51.179,0.0,0.0,0.25,0.25,0.0,0.0
51.28,0.0,0.0,0.25,0.25,0.0,0.0
51.382,0.0,0.0,0.25,0.25,0.0,0.0
51.48,0.0,0.0,0.25,0.25,0.0,0.0
51.579,0.0,0.0,0.25,0.25,0.0,0.0
51.678,0.0,0.0,0.25,0.25,0.0,0.0
51.778,0.0,0.0,0.25,0.25,0.0,0.0
51.878,0.0,0.0,0.25,0.25,0.0,0.0
51.978,0.0,0.0,0.25,0.25,0.0,0.0
52.08,0.0,0.0,0.25,0.25,0.0,0.0
52.176,0.0,0.0,0.25,0.25,0.0,0.0
52.278,0.0,0.0,0.25,0.25,0.0,0.0
52.381,0.0,0.0,0.25,0.25,0.0,0.0
52.478,0.0,0.0,0.25,0.25,0.0,0.0
52.578,0.0,0.0,0.25,0.25,0.0,0.0
52.678,0.0,0.0,0.25,0.25,0.0,0.0
52.778,0.0,0.0,0.25,0.25,0.0,0.0
52.885,0.0,0.0,0.25,0.25,0.0,0.0
52.978,0.0,0.0,0.25,0.25,0.0,0.0
53.078,0.0,0.0,0.25,0.25,0.0,0.0
53.178,0.0,0.0,0.25,0.25,0.0,0.0
